Date,Rain
1983-01-01, 382.186
1983-02-01, 353.954
1983-03-01, 463.125
1983-04-01, 319.293
1983-05-01, 240.608
1983-06-01, 43.422
1983-07-01, 20.990
1983-08-01, 8.344
1983-09-01, 31.878
1983-10-01, 242.695
1983-11-01, 346.341
1983-12-01, 340.863
1984-01-01, 507.860
1984-02-01, 582.708
1984-03-01, 431.539
1984-04-01, 408.773
1984-05-01, 141.982
1984-06-01, 99.000
1984-07-01, 97.120
1984-08-01, 40.965
1984-09-01, 202.646
1984-10-01, 172.235
1984-11-01, 199.226
1984-12-01, 478.241
1985-01-01, 263.702
1985-02-01, 446.120
1985-03-01, 317.495
1985-04-01, 244.206
1985-05-01, 156.408
1985-06-01, 150.186
1985-07-01, 66.769
1985-08-01, 30.725
1985-09-01, 49.447
1985-10-01, 243.183
1985-11-01, 226.148
1985-12-01, 308.700
1986-01-01, 324.435
1986-02-01, 313.918
1986-03-01, 442.912
1986-04-01, 304.306
1986-05-01, 59.507
1986-06-01, 355.066
1986-07-01, 75.559
1986-08-01, 68.067
1986-09-01, 75.535
1986-10-01, 264.107
1986-11-01, 252.712
1986-12-01, 165.061
1987-01-01, 463.898
1987-02-01, 516.471
1987-03-01, 350.425
1987-04-01, 103.646
1987-05-01, 89.098
1987-06-01, 136.436
1987-07-01, 54.458
1987-08-01, 0.000
1987-09-01, 19.534
1987-10-01, 38.367
1987-11-01, 164.719
1987-12-01, 350.034
1988-01-01, 390.451
1988-02-01, 248.876
1988-03-01, 288.775
1988-04-01, 137.314
1988-05-01, 206.261
1988-06-01, 40.068
1988-07-01, 28.829
1988-08-01, 29.835
1988-09-01, 44.232
1988-10-01, 112.579
1988-11-01, 255.982
1988-12-01, 284.888
1989-01-01, 346.177
1989-02-01, 405.712
1989-03-01, 201.780
1989-04-01, 305.824
1989-05-01, 186.940
1989-06-01, 211.841
1989-07-01, 99.887
1989-08-01, 29.370
1989-09-01, 50.570
1989-10-01, 88.884
1989-11-01, 183.706
1989-12-01, 246.918
1990-01-01, 375.773
1990-02-01, 361.236
1990-03-01, 227.700
1990-04-01, 151.774
1990-05-01, 169.229
1990-06-01, 16.647
1990-07-01, 27.599
1990-08-01, 29.961
1990-09-01, 7.665
1990-10-01, 42.992
1990-11-01, 95.140
1990-12-01, 304.116
1991-01-01, 386.247
1991-02-01, 341.049
1991-03-01, 134.634
1991-04-01, 289.127
1991-05-01, 29.497
1991-06-01, 57.174
1991-07-01, 0.000
1991-08-01, 0.000
1991-09-01, 37.974
1991-10-01, 35.198
1991-11-01, 192.439
1991-12-01, 166.022
1992-01-01, 458.203
1992-02-01, 99.000
1992-03-01, 385.657
1992-04-01, 264.721
1992-05-01, 93.659
1992-06-01, 37.935
1992-07-01, 41.070
1992-08-01, 38.902
1992-09-01, 51.734
1992-10-01, 138.973
1992-11-01, 221.733
1992-12-01, 283.305
1993-01-01, 354.648
1993-02-01, 247.728
1993-03-01, 207.027
1993-04-01, 201.132
1993-05-01, 60.266
1993-06-01, 152.131
1993-07-01, 5.264
1993-08-01, 8.312
1993-09-01, 17.274
1993-10-01, 51.979
1993-11-01, 176.685
1993-12-01, 258.146
1994-01-01, 410.679
1994-02-01, 327.694
1994-03-01, 384.541
1994-04-01, 137.850
1994-05-01, 35.097
1994-06-01, 6.385
1994-07-01, 0.000
1994-08-01, 0.000
1994-09-01, 20.268
1994-10-01, 28.461
1994-11-01, 108.595
1994-12-01, 247.386
1995-01-01, 401.762
1995-02-01, 438.367
1995-03-01, 407.822
1995-04-01, 248.051
1995-05-01, 84.768
1995-06-01, 115.698
1995-07-01, 45.792
1995-08-01, 6.234
1995-09-01, 23.346
1995-10-01, 78.184
1995-11-01, 334.418
1995-12-01, 294.851
1996-01-01, 289.437
1996-02-01, 304.641
1996-03-01, 282.882
1996-04-01, 145.435
1996-05-01, 33.590
1996-06-01, 22.062
1996-07-01, 36.662
1996-08-01, 32.051
1996-09-01, 45.738
1996-10-01, 112.891
1996-11-01, 234.937
1996-12-01, 336.883
1997-01-01, 281.492
1997-02-01, 379.181
1997-03-01, 221.787
1997-04-01, 215.948
1997-05-01, 79.507
1997-06-01, 23.844
1997-07-01, 33.475
1997-08-01, 47.037
1997-09-01, 39.198
1997-10-01, 24.698
1997-11-01, 73.485
1997-12-01, 296.985
1998-01-01, 218.927
1998-02-01, 373.749
1998-03-01, 319.983
1998-04-01, 339.548
1998-05-01, 91.582
1998-06-01, 123.974
1998-07-01, 161.923
1998-08-01, 15.382
1998-09-01, 83.632
1998-10-01, 219.205
1998-11-01, 253.576
1998-12-01, 363.101
1999-01-01, 345.409
1999-02-01, 264.661
1999-03-01, 290.286
1999-04-01, 269.348
1999-05-01, 77.617
1999-06-01, 4.730
1999-07-01, 66.715
1999-08-01, 26.963
1999-09-01, 33.379
1999-10-01, 171.411
1999-11-01, 247.005
1999-12-01, 341.133
2000-01-01, 363.494
2000-02-01, 377.463
2000-03-01, 356.135
2000-04-01, 255.999
2000-05-01, 149.648
2000-06-01, 62.041
2000-07-01, 10.389
2000-08-01, 14.534
2000-09-01, 41.810
2000-10-01, 188.065
2000-11-01, 317.821
2000-12-01, 277.377
2001-01-01, 323.580
2001-02-01, 281.085
2001-03-01, 382.859
2001-04-01, 251.171
2001-05-01, 107.268
2001-06-01, 140.387
2001-07-01, 145.461
2001-08-01, 22.249
2001-09-01, 45.345
2001-10-01, 163.178
2001-11-01, 218.577
2001-12-01, 295.775
2002-01-01, 404.813
2002-02-01, 363.882
2002-03-01, 329.392
2002-04-01, 212.129
2002-05-01, 128.430
2002-06-01, 18.706
2002-07-01, 5.868
2002-08-01, 23.619
2002-09-01, 16.342
2002-10-01, 37.602
2002-11-01, 142.653
2002-12-01, 313.292
2003-01-01, 371.533
2003-02-01, 416.336
2003-03-01, 250.899
2003-04-01, 123.951
2003-05-01, 125.239
2003-06-01, 78.578
2003-07-01, 14.907
2003-08-01, 17.449
2003-09-01, 19.494
2003-10-01, 102.522
2003-11-01, 301.108
2003-12-01, 312.094
2004-01-01, 325.426
2004-02-01, 377.934
2004-03-01, 438.856
2004-04-01, 152.347
2004-05-01, 121.846
2004-06-01, 52.745
2004-07-01, 13.987
2004-08-01, 27.933
2004-09-01, 48.122
2004-10-01, 16.735
2004-11-01, 259.353
2004-12-01, 328.627
2005-01-01, 279.290
2005-02-01, 366.709
2005-03-01, 309.870
2005-04-01, 203.456
2005-05-01, 128.261
2005-06-01, 186.586
2005-07-01, 61.882
2005-08-01, 12.617
2005-09-01, 75.380
2005-10-01, 123.377
2005-11-01, 145.535
2005-12-01, 346.643
2006-01-01, 342.835
2006-02-01, 313.965
2006-03-01, 345.122
2006-04-01, 215.375
2006-05-01, 196.617
2006-06-01, 47.367
2006-07-01, 29.182
2006-08-01, 0.000
2006-09-01, 16.943
2006-10-01, 6.309
2006-11-01, 137.411
2006-12-01, 332.713
2007-01-01, 169.088
2007-02-01, 314.340
2007-03-01, 344.716
2007-04-01, 261.048
2007-05-01, 100.607
2007-06-01, 68.196
2007-07-01, 11.552
2007-08-01, 28.097
2007-09-01, 13.838
2007-10-01, 73.143
2007-11-01, 131.346
2007-12-01, 327.126
2008-01-01, 243.231
2008-02-01, 298.941
2008-03-01, 326.859
2008-04-01, 118.666
2008-05-01, 71.077
2008-06-01, 23.665
2008-07-01, 21.424
2008-08-01, 18.514
2008-09-01, 21.778
2008-10-01, 120.564
2008-11-01, 293.289
2008-12-01, 375.137
2009-01-01, 339.824
2009-02-01, 365.595
2009-03-01, 178.637
2009-04-01, 179.160
2009-05-01, 190.504
2009-06-01, 77.709
2009-07-01, 13.750
2009-08-01, 0.000
2009-09-01, 52.691
2009-10-01, 41.136
2009-11-01, 157.885
2009-12-01, 204.619
2010-01-01, 358.554
2010-02-01, 528.312
2010-03-01, 362.268
2010-04-01, 434.921
2010-05-01, 314.243
2010-06-01, 99.373
2010-07-01, 122.980
2010-08-01, 66.581
2010-09-01, 245.098
2010-10-01, 223.541
2010-11-01, 241.438
2010-12-01, 335.209
2011-01-01, 276.977
2011-02-01, 298.888
2011-03-01, 330.507
2011-04-01, 255.491
2011-05-01, 176.746
2011-06-01, 26.545
2011-07-01, 16.073
2011-08-01, 13.673
2011-09-01, 7.608
2011-10-01, 57.433
2011-11-01, 282.154
2011-12-01, 268.864
2012-01-01, 335.884
2012-02-01, 301.122
2012-03-01, 363.809
2012-04-01, 191.077
2012-05-01, 64.174
2012-06-01, 44.183
2012-07-01, 26.776
2012-08-01, 0.000
2012-09-01, 25.060
2012-10-01, 61.900
2012-11-01, 142.802
2012-12-01, 277.970
2013-01-01, 412.975
2013-02-01, 300.414
2013-03-01, 371.485
2013-04-01, 281.600
2013-05-01, 268.489
2013-06-01, 299.842
2013-07-01, 100.564
2013-08-01, 10.759
2013-09-01, 40.545
2013-10-01, 47.706
2013-11-01, 240.197
2013-12-01, 287.626
2014-01-01, 263.340
2014-02-01, 380.990
2014-03-01, 288.627
2014-04-01, 256.387
2014-05-01, 72.543
2014-06-01, 99.833
2014-07-01, 32.397
2014-08-01, 4.434
2014-09-01, 14.683
2014-10-01, 29.509
2014-11-01, 172.622
2014-12-01, 332.688
2015-01-01, 352.247
2015-02-01, 307.658
2015-03-01, 366.812
2015-04-01, 325.467
2015-05-01, 63.614
2015-06-01, 25.852
2015-07-01, 31.054
2015-08-01, 11.424
2015-09-01, 8.486
2015-10-01, 8.252
2015-11-01, 184.865
2015-12-01, 231.676
2016-01-01, 262.916
2016-02-01, 459.074
2016-03-01, 299.068
2016-04-01, 194.941
2016-05-01, 156.440
2016-06-01, 183.528
2016-07-01, 158.568
2016-08-01, 33.904
2016-09-01, 96.018
2016-10-01, 243.467
2016-11-01, 258.620
2016-12-01, 329.357
2017-01-01, 397.086
2017-02-01, 227.808
2017-03-01, 257.663
2017-04-01, 194.272
2017-05-01, 121.778
2017-06-01, 88.695
2017-07-01, 42.268
2017-08-01, 11.875
2017-09-01, 14.033
2017-10-01, 69.556
2017-11-01, 395.686
2017-12-01, 349.521
2018-01-01, 415.391
2018-02-01, 646.085
2018-03-01, 329.926
2018-04-01, 142.132
2018-05-01, 48.458
2018-06-01, 37.779
2018-07-01, 7.178
2018-08-01, 2.644
2018-09-01, 27.175
2018-10-01, 53.435
2018-11-01, 172.990
2018-12-01, 274.804
2019-01-01, 382.719
2019-02-01, 374.508
2019-03-01, 373.399
2019-04-01, 312.030
2019-05-01, 123.148
2019-06-01, 20.936
2019-07-01, 14.545
2019-08-01, 19.858
2019-09-01, 5.085
2019-10-01, 21.198
2019-11-01, 87.080
2019-12-01, 201.843